Edad;IngAnual;TipVivienda;AntLaboral;DestPrestamo;CalifPrestamo;MontoPrest;TasaInteres;Default;PorcPrestamo;DefaultHistorico;MesesHistorial
22;59000;ALQUILER;123;Personal;D;35000;16.02;1;0.59;Y;3
21;9600;PROPIO;5;Educacion;B;1000;11.14;0;0.1;N;2
25;9600;HIPOTECA;1;GastosMedicos;C;5500;12.87;1;0.57;N;3
23;65500;ALQUILER;4;GastosMedicos;C;35000;15.23;1;0.53;N;2
24;54400;ALQUILER;8;GastosMedicos;C;35000;14.27;1;0.55;Y;4
21;9900;PROPIO;2;Empresa;A;2500;7.14;1;0.25;N;2
26;77100;ALQUILER;8;Educacion;B;35000;12.42;1;0.45;N;3
24;78956;ALQUILER;5;GastosMedicos;B;35000;11.11;1;0.44;N;4
24;83000;ALQUILER;8;Personal;A;35000;8.9;1;0.42;N;2
21;10000;PROPIO;6;Empresa;D;1600;14.74;1;0.16;N;3
22;85000;ALQUILER;6;Empresa;B;35000;10.37;1;0.41;N;4
21;10000;PROPIO;2;MejorasCasa;A;4500;8.63;1;0.45;N;2
23;95000;ALQUILER;2;Empresa;A;35000;7.9;1;0.37;N;2
26;108160;ALQUILER;4;Educacion;E;35000;18.39;1;0.32;N;4
23;115000;ALQUILER;2;Educacion;A;35000;7.9;0;0.3;N;4
23;500000;HIPOTECA;7;PagoDeudas;B;30000;10.65;0;0.06;N;3
23;120000;ALQUILER;0;Educacion;A;35000;7.9;0;0.29;N;4
23;92111;ALQUILER;7;GastosMedicos;F;35000;20.25;1;0.32;N;4
23;113000;ALQUILER;8;PagoDeudas;D;35000;18.25;1;0.31;N;4
24;10800;HIPOTECA;8;Educacion;B;1750;10.99;1;0.16;N;2
25;162500;ALQUILER;2;Empresa;A;35000;7.49;0;0.22;N;4
25;137000;ALQUILER;9;Personal;E;34800;16.77;0;0.25;Y;2
22;65000;ALQUILER;4;Educacion;D;34000;17.58;1;0.52;N;4
24;10980;PROPIO;0;Personal;A;1500;7.29;0;0.14;N;3
22;80000;ALQUILER;3;Personal;D;33950;14.54;1;0.42;Y;4
24;67746;ALQUILER;8;MejorasCasa;C;33000;12.68;1;0.49;N;3
21;11000;HIPOTECA;3;Empresa;E;4575;17.74;1;0.42;Y;3
23;11000;PROPIO;0;Personal;A;1400;9.32;0;0.13;N;3
24;65000;ALQUILER;6;MejorasCasa;B;32500;9.99;1;0.5;N;3
21;11389;OTRO;5;Educacion;C;4000;12.84;1;0.35;Y;2
21;11520;PROPIO;5;GastosMedicos;B;2000;11.12;1;0.17;N;3
25;120000;ALQUILER;2;Empresa;A;32000;6.62;0;0.27;N;2
26;95000;ALQUILER;7;MejorasCasa;C;31050;14.17;1;0.33;Y;3
25;306000;ALQUILER;2;PagoDeudas;C;24250;13.85;0;0.08;N;3
26;300000;HIPOTECA;10;GastosMedicos;C;7800;13.49;0;0.03;N;4
21;12000;PROPIO;5;Educacion;A;2500;7.51;1;0.21;N;4
22;48000;ALQUILER;1;Educacion;E;30000;18.39;1;0.63;N;2
24;64000;ALQUILER;8;PagoDeudas;D;30000;14.54;1;0.47;Y;3
25;75000;ALQUILER;4;MejorasCasa;D;30000;16.89;1;0.4;Y;4
23;71500;ALQUILER;3;PagoDeudas;D;30000;;1;0.42;N;4
26;62050;ALQUILER;6;GastosMedicos;E;30000;17.99;1;0.41;N;2
24;12000;PROPIO;4;Empresa;B;2500;12.69;1;0.21;N;3
26;300000;HIPOTECA;10;Empresa;A;20000;7.88;0;0.07;N;4
23;300000;PROPIO;1;Educacion;F;24250;19.41;0;0.08;Y;2
26;300000;PROPIO;9;MejorasCasa;B;10000;10.38;0;0.03;N;4
26;300000;HIPOTECA;0;Educacion;D;25000;15.33;0;0.08;N;3
25;300000;HIPOTECA;9;MejorasCasa;E;18000;16.45;0;0.06;N;3
26;80690;ALQUILER;8;Personal;A;30000;7.49;1;0.37;N;3
22;66300;ALQUILER;4;GastosMedicos;B;30000;12.69;1;0.38;N;3
26;89028;ALQUILER;0;PagoDeudas;A;30000;6.62;1;0.34;N;3
24;78000;ALQUILER;4;PagoDeudas;D;30000;;1;0.38;Y;4
23;78000;ALQUILER;7;PagoDeudas;F;30000;18.62;1;0.38;Y;3
23;92004;ALQUILER;6;Personal;C;30000;15.23;1;0.33;Y;3
23;97000;ALQUILER;7;Empresa;B;30000;10.65;1;0.31;N;2
25;120000;ALQUILER;9;Educacion;A;30000;7.9;0;0.25;N;4
26;280000;ALQUILER;4;Personal;C;10000;15.96;0;0.04;Y;3
26;277104;ALQUILER;0;Empresa;B;20000;11.48;0;0.07;N;3
23;277000;PROPIO;3;Personal;A;35000;;0;0.13;N;4
25;128000;ALQUILER;9;Personal;A;30000;7.29;0;0.23;N;4
24;12000;PROPIO;2;Empresa;E;1750;;0;0.15;Y;3
21;131000;ALQUILER;0;Empresa;A;30000;5.99;0;0.23;N;4
22;275000;PROPIO;6;Empresa;B;12000;11.58;0;0.04;N;2
26;263000;HIPOTECA;0;Educacion;B;10000;;1;0.04;N;4
25;221850;HIPOTECA;9;GastosMedicos;D;25000;15.7;1;0.1;N;2
22;70000;ALQUILER;6;Educacion;D;29100;15.99;1;0.42;N;3
22;12000;HIPOTECA;7;Educacion;D;1500;14.84;0;0.13;Y;3
26;260000;PROPIO;10;MejorasCasa;B;28000;10.99;0;0.11;N;3
25;259000;HIPOTECA;9;MejorasCasa;D;20000;14.42;0;0.08;Y;2
24;255000;HIPOTECA;9;Educacion;A;9600;6.99;0;0.04;N;2
25;250000;ALQUILER;2;GastosMedicos;C;25000;13.49;0;0.1;N;4
25;12000;PROPIO;0;GastosMedicos;C;3000;;1;0.25;N;3
22;56950;ALQUILER;6;GastosMedicos;A;28000;;1;0.49;N;2
21;12000;PROPIO;6;Educacion;C;3000;13.61;1;0.25;Y;3
23;65000;ALQUILER;2;Educacion;A;28000;7.9;1;0.43;N;2
26;85000;ALQUILER;2;Empresa;A;28000;7.49;1;0.33;N;3
26;12000;PROPIO;2;Educacion;A;6100;7.51;1;0.51;N;3
22;88000;ALQUILER;6;Empresa;B;28000;9.91;1;0.32;N;3
21;12000;PROPIO;0;Personal;C;4200;13.48;1;0.35;Y;4
22;12000;PROPIO;6;PagoDeudas;A;4750;7.14;1;0.4;N;2
24;83004;ALQUILER;0;Empresa;D;28000;15.99;1;0.34;Y;4
24;250000;ALQUILER;2;Educacion;C;18000;12.98;0;0.07;Y;3
144;250000;ALQUILER;4;Empresa;C;4800;13.57;0;0.02;N;3
25;100000;ALQUILER;5;PagoDeudas;B;28000;12.69;0;0.28;N;3
26;110000;ALQUILER;10;Educacion;A;28000;8.9;0;0.25;N;2
26;12000;PROPIO;0;PagoDeudas;A;2700;;1;0.23;N;4
22;108000;ALQUILER;6;Educacion;B;28000;;1;0.26;N;4
23;151200;ALQUILER;7;PagoDeudas;B;28000;11.11;0;0.19;N;2
24;69000;ALQUILER;2;MejorasCasa;A;27600;;1;0.4;N;2
21;12000;HIPOTECA;5;PagoDeudas;E;3250;15.68;1;0.27;Y;3
22;70000;ALQUILER;4;Educacion;C;27500;13.06;1;0.39;Y;3
22;240000;PROPIO;6;Personal;B;25000;;0;0.1;N;2
26;73200;ALQUILER;5;Empresa;D;27050;15.62;1;0.37;Y;2
24;83000;ALQUILER;5;Personal;C;27000;13.49;1;0.33;Y;2
24;73399;ALQUILER;0;Empresa;D;27000;;1;0.37;N;3
23;62500;ALQUILER;7;GastosMedicos;B;26000;11.71;1;0.42;N;2
23;120000;ALQUILER;1;Educacion;B;25600;12.69;0;0.21;N;3
24;12360;PROPIO;2;GastosMedicos;C;1600;13.57;0;0.13;N;3
22;60000;ALQUILER;0;Empresa;B;25475;10.99;1;0.42;N;3
25;234000;HIPOTECA;3;GastosMedicos;C;20000;14.27;0;0.09;Y;4
24;234000;PROPIO;8;MejorasCasa;B;20000;8.88;0;0.09;N;4
26;234000;HIPOTECA;10;MejorasCasa;B;21600;12.18;0;0.09;N;3
25;221004;HIPOTECA;6;PagoDeudas;D;11900;14.42;1;0.05;Y;3
26;232500;HIPOTECA;0;GastosMedicos;C;25000;14.17;0;0.11;Y;2
25;230000;HIPOTECA;5;GastosMedicos;C;35000;13.99;0;0.15;N;4
23;83000;ALQUILER;7;Educacion;B;25300;10.99;1;0.3;N;3
22;12600;HIPOTECA;;Personal;A;2000;5.42;1;0.16;N;4
25;12600;PROPIO;3;Personal;C;1750;13.61;0;0.14;N;3
21;42500;ALQUILER;3;Educacion;C;25000;12.73;1;0.59;Y;3
24;41000;ALQUILER;2;MejorasCasa;D;25000;;1;0.61;N;3
25;12816;PROPIO;0;PagoDeudas;C;3000;12.87;1;0.23;Y;4
24;12960;HIPOTECA;1;MejorasCasa;B;3650;9.91;1;0.28;N;3
26;226000;HIPOTECA;4;MejorasCasa;B;20000;11.49;0;0.09;N;4
25;225000;HIPOTECA;0;MejorasCasa;E;30000;19.91;0;0.13;Y;2
26;213000;HIPOTECA;6;Educacion;B;35000;10.65;1;0.16;N;2
24;225000;ALQUILER;0;GastosMedicos;B;6000;;0;0.03;N;4
24;12960;HIPOTECA;0;PagoDeudas;B;4500;11.83;1;0.35;N;4
23;12996;PROPIO;0;PagoDeudas;C;2400;13.49;1;0.18;Y;2
22;42000;ALQUILER;6;GastosMedicos;D;25000;14.59;1;0.6;Y;2
26;48000;ALQUILER;2;Educacion;B;25000;9.64;1;0.52;N;4
25;12996;PROPIO;1;GastosMedicos;D;3600;14.59;1;0.28;N;3
22;12996;PROPIO;1;Educacion;B;4750;;1;0.37;N;3
25;42360;ALQUILER;1;Educacion;E;25000;16.35;1;0.59;Y;3
21;49000;ALQUILER;4;Educacion;B;25000;10.99;1;0.51;N;2
25;225000;HIPOTECA;0;Empresa;F;25000;18.67;0;0.11;N;2
26;225000;ALQUILER;1;Educacion;A;3000;9.32;0;0.01;N;4
23;225000;ALQUILER;8;PagoDeudas;A;7500;8.63;0;0.03;N;2
26;225000;HIPOTECA;2;Empresa;B;25000;10.08;0;0.11;N;2
22;49464;ALQUILER;5;Personal;B;25000;11.83;1;0.51;N;3
23;50000;ALQUILER;1;PagoDeudas;A;25000;7.9;1;0.5;N;3
25;50000;ALQUILER;4;MejorasCasa;A;25000;5.99;1;0.5;N;2
24;44000;ALQUILER;2;PagoDeudas;D;25000;15.33;1;0.57;N;2
23;50000;ALQUILER;1;Empresa;B;25000;11.83;1;0.5;N;4
22;50004;ALQUILER;0;Empresa;B;25000;10.36;1;0.5;N;2
22;50004;ALQUILER;3;Empresa;C;25000;12.23;1;0.5;N;3
22;52000;ALQUILER;2;Educacion;B;25000;11.11;1;0.48;N;4
23;13200;PROPIO;3;PagoDeudas;A;4950;7.9;1;0.38;N;4
24;220000;HIPOTECA;1;Educacion;B;25000;11.58;0;0.11;N;2
23;216000;HIPOTECA;5;PagoDeudas;A;21000;8.9;0;0.1;N;3
25;216000;HIPOTECA;2;Educacion;D;25000;16.07;0;0.12;N;3
26;216000;HIPOTECA;10;Educacion;C;20000;14.22;0;0.09;Y;2
23;215000;HIPOTECA;7;GastosMedicos;C;35000;14.79;0;0.16;Y;3
26;215000;HIPOTECA;11;Educacion;A;12000;7.88;0;0.06;N;2
23;52000;ALQUILER;1;Personal;C;25000;13.22;1;0.48;N;2
26;46000;ALQUILER;2;PagoDeudas;D;25000;11.86;1;0.54;N;4
22;53000;ALQUILER;5;Educacion;C;25000;13.43;1;0.47;Y;4
26;47000;ALQUILER;0;MejorasCasa;D;25000;15.28;1;0.53;Y;2
23;47000;ALQUILER;1;Empresa;E;25000;17.93;1;0.53;N;2
23;13200;HIPOTECA;2;Educacion;B;1400;9.25;0;0.11;N;4
21;13200;PROPIO;0;Empresa;C;4500;12.98;1;0.34;N;4
22;210000;HIPOTECA;6;Empresa;B;16000;10.62;0;0.08;N;4
26;210000;PROPIO;10;Personal;B;22000;11.83;0;0.1;N;4
26;48000;ALQUILER;5;Empresa;F;25000;18.43;1;0.52;N;2
22;54996;ALQUILER;6;Educacion;B;25000;;1;0.45;N;4
24;55000;ALQUILER;4;MejorasCasa;D;25000;;1;0.45;Y;4
23;55000;ALQUILER;4;Educacion;B;25000;11.36;1;0.45;N;3
23;55000;ALQUILER;4;Educacion;D;25000;15.65;1;0.45;Y;3
24;55164;ALQUILER;8;Personal;C;25000;13.22;1;0.45;Y;4
26;56000;ALQUILER;4;PagoDeudas;C;25000;12.87;1;0.45;N;2
24;203500;PROPIO;8;GastosMedicos;C;20000;13.04;0;0.1;N;3
